schid,female,score,advice,medu,fedu,focc
24,0,99,2,4,1,2
24,1,93,2,1,5,2
24,0,86,2,1,1,1
24,1,106,4,5,6,5
24,0,80,1,1,1,2
24,1,104,2,1,2,2
24,0,109,4,1,1,2
24,1,119,5,1,4,3
24,0,98,2,1,3,
24,0,111,2,1,1,2
24,1,96,2,1,3,2
24,1,109,4,1,1,3
24,1,97,2,1,6,3
24,1,113,4,1,1,5
24,0,115,5,4,7,5
24,0,96,2,5,5,3
24,1,96,2,3,6,3
24,1,105,4,5,5,3
24,0,91,2,1,1,3
24,0,108,4,1,1,5
24,0,94,2,1,1,2
25,0,105,2,5,4,5
25,1,96,2,1,3,3
25,0,92,2,1,5,3
25,0,84,2,1,1,4
25,1,105,4,1,2,2
25,0,88,2,1,1,1
25,1,89,2,3,5,4
25,0,120,5,4,4,3
25,0,85,2,1,1,4
25,0,101,2,1,1,2
25,1,109,4,3,6,3
25,0,112,4,1,,
25,1,99,2,1,,
25,0,83,2,1,1,2
25,0,109,2,1,1,1
25,0,81,2,1,3,4
25,1,99,2,6,,
25,0,96,2,1,1,1
25,0,94,2,1,,
25,0,108,4,3,7,2
25,1,94,2,1,1,3
25,0,103,2,1,1,1
25,1,102,4,1,1,3
26,1,101,2,3,1,2
26,1,98,2,1,1,2
26,0,98,2,1,3,2
26,1,112,4,1,4,4
26,1,102,2,,,
26,0,110,4,2,3,2
26,0,109,4,1,3,3
26,0,114,4,,,2
26,0,106,4,5,5,3
26,1,96,2,3,1,1
26,0,95,2,5,,
26,1,96,2,1,1,2
26,0,113,4,1,1,2
26,1,107,4,5,6,5
26,0,93,2,5,3,3
26,1,102,2,1,2,2
26,1,89,1,1,1,1
26,1,109,4,5,8,5
26,0,103,2,3,3,4
26,1,113,4,5,3,5
26,0,105,2,,,2
26,1,110,4,1,3,
26,1,95,2,1,3,2
26,1,100,2,1,1,3
26,1,98,2,1,3,
26,1,104,2,1,3,3
27,0,98,2,6,,
27,1,121,5,5,7,5
27,1,89,2,1,1,3
27,1,88,2,5,8,2
27,0,130,6,6,7,6
27,0,108,5,7,7,5
27,0,89,1,6,6,4
27,0,115,5,5,8,6
27,1,88,2,5,7,4
27,0,111,4,1,7,6
27,1,81,2,2,5,3
27,1,112,4,5,5,3
27,0,114,5,3,6,3
27,1,112,2,1,7,6
27,1,89,2,1,3,3
27,0,102,2,3,6,5
27,1,104,2,1,1,4
27,1,103,4,5,3,3
27,1,86,2,1,1,3
27,0,121,5,1,1,1
27,0,97,4,2,5,3
27,1,112,5,3,6,6
27,0,100,4,3,3,3
27,0,110,4,1,1,1
27,0,107,4,1,1,4
27,0,114,5,7,7,6
27,1,97,2,1,2,1
27,1,98,2,,,
27,1,102,4,3,8,6
27,1,112,5,9,,
27,0,111,5,3,5,3
27,0,103,4,5,7,5
27,0,98,2,6,5,4
27,1,121,5,7,8,5
27,0,97,2,1,3,6
27,0,113,5,5,7,5
27,1,101,2,5,,
28,0,98,2,1,6,5
28,1,100,2,6,6,6
28,0,114,4,5,7,6
28,0,81,2,1,1,3
28,0,109,4,6,7,6
28,1,80,2,3,1,1
28,0,111,4,1,1,3
28,0,123,5,5,3,3
28,0,104,4,7,8,6
28,0,99,2,1,5,3
28,0,87,1,1,1,1
28,0,103,4,6,7,3
28,0,110,4,3,6,3
28,1,84,2,3,3,2
28,0,95,2,3,4,4
28,0,109,4,3,4,2
28,1,110,4,3,6,3
28,1,78,1,3,1,2
28,1,96,2,5,7,5
28,1,100,2,1,,
28,1,99,2,1,1,3
28,0,84,2,3,3,2
28,0,106,4,5,,
28,1,106,4,1,1,2
28,1,113,4,3,9,6
28,0,105,4,1,1,2
28,0,92,2,,2,2
28,0,81,2,1,1,3
28,0,88,2,1,1,2
28,1,98,2,3,1,2
28,1,112,4,2,2,4
28,1,80,2,1,1,3
28,0,102,2,6,6,3
29,1,109,4,1,3,2
29,0,127,6,7,7,3
29,1,109,4,3,8,3
29,0,88,2,,,2
29,0,98,2,1,3,2
29,1,130,6,5,6,3
29,0,119,5,5,4,1
29,1,103,4,5,8,3
29,0,104,4,5,5,5
29,0,91,2,5,6,5
29,1,127,6,6,7,3
29,0,113,5,5,5,3
29,0,118,5,1,3,2
29,0,111,2,3,3,
29,1,118,5,7,7,3
29,1,93,2,3,5,3
29,1,111,5,5,5,3
29,1,101,4,3,6,3
29,1,117,5,1,5,3
29,0,114,5,7,5,5
29,1,102,4,5,1,3
29,1,97,2,6,7,5
29,1,109,4,5,5,2
29,1,114,5,3,4,3
29,1,118,5,1,3,
29,0,111,2,1,5,3
29,1,120,5,5,2,3
29,1,88,2,3,6,3
29,1,87,2,1,1,
29,0,113,4,3,5,5
29,1,94,2,1,1,2
29,0,102,2,1,4,5
29,0,89,2,1,1,2
29,0,111,5,5,6,3
29,1,109,5,6,6,3
29,0,96,2,4,4,2
30,0,120,5,7,8,6
30,0,105,2,1,6,5
30,0,138,6,7,7,6
30,0,121,6,5,7,6
30,1,96,4,7,9,6
30,0,101,4,7,7,5
30,1,91,,1,2,3
30,0,113,5,2,8,6
30,1,106,4,5,7,2
30,0,127,6,6,7,5
30,1,107,4,1,3,3
30,0,112,4,4,8,5
30,0,113,5,7,7,6
30,1,116,5,3,4,3
30,0,122,2,3,6,5
30,0,118,5,7,6,6
30,0,125,6,6,9,6
30,1,116,5,5,5,5
30,0,129,6,9,9,6
30,0,122,5,3,7,3
30,1,120,5,9,9,6
30,0,131,6,7,9,6
30,0,106,4,6,8,3
30,0,130,6,6,7,6
30,0,126,6,6,6,3
30,1,114,2,9,9,6
30,1,129,6,2,2,2
30,1,120,5,7,8,6
30,0,101,2,5,5,4
30,1,118,5,5,7,6
30,0,100,2,1,5,3
30,0,125,6,3,7,4
30,1,102,4,1,2,5
30,0,135,6,5,7,3
30,1,135,6,9,9,6
30,0,138,6,7,7,5
30,0,102,2,2,3,3
30,1,112,4,1,5,3
30,1,125,6,9,9,6
30,0,122,5,5,8,5
30,1,106,4,3,6,5
30,0,106,4,6,7,4
31,1,113,5,2,2,5
31,0,112,4,1,5,4
31,1,96,2,5,3,3
31,0,95,2,4,6,5
31,1,92,2,1,4,2
31,1,101,2,1,1,3
31,0,112,4,1,5,5
31,1,90,2,3,6,3
31,1,117,5,5,4,5
31,1,84,2,1,5,5
31,1,119,5,7,6,2
31,1,99,2,1,6,5
31,0,106,2,1,5,3
31,0,111,4,1,2,5
31,0,97,2,3,3,2
31,1,96,2,3,1,2
31,1,96,2,1,1,2
31,0,104,4,1,6,5
31,0,108,2,1,7,3
31,0,116,5,5,5,3
31,0,92,2,1,1,1
31,0,99,2,1,1,3
32,0,129,6,7,9,6
32,1,126,6,9,9,6
32,0,110,4,7,7,3
32,1,117,5,6,7,6
32,1,125,4,7,8,6
32,0,123,5,7,7,6
32,1,108,4,5,1,5
32,0,130,6,5,5,3
32,1,109,4,7,9,6
32,1,103,2,5,6,5
32,0,113,4,7,9,6
32,0,120,5,5,7,6
32,0,95,2,7,9,6
32,0,133,6,5,8,5
32,1,123,5,2,7,5
32,0,103,4,5,5,5
32,0,129,6,4,7,6
32,1,114,4,6,8,5
32,1,104,4,3,8,5
32,0,114,4,2,2,3
32,1,122,5,5,5,6
32,0,98,2,7,9,6
32,1,121,6,5,8,3
32,0,100,2,3,5,5
32,0,94,2,5,5,4
32,0,114,4,2,6,4
32,0,117,5,5,8,5
32,1,96,2,6,4,2
32,0,112,4,9,9,6
32,0,113,4,7,8,6
32,1,125,6,7,8,6
32,0,100,0,7,9,6
32,1,106,4,9,9,6
32,0,108,4,7,9,6
32,1,126,6,6,7,5
33,1,119,5,5,7,5
33,1,104,4,7,9,6
33,1,101,2,5,7,4
33,0,93,2,3,8,5
33,0,121,5,5,8,4
33,1,127,6,8,9,6
33,1,102,4,9,9,6
33,1,117,5,5,7,5
33,1,91,2,3,5,3
33,0,128,6,9,9,6
33,1,114,5,6,6,3
33,1,104,4,6,9,6
33,1,105,4,7,7,3
33,1,107,4,3,3,2
33,1,101,4,4,4,5
33,0,101,2,7,8,6
33,1,106,4,6,7,6
33,0,108,6,9,9,6
33,0,103,4,8,9,6
33,0,106,4,8,9,6
33,0,101,2,3,9,6
33,1,101,2,7,6,3
33,0,107,4,7,8,3
33,1,110,5,5,8,6
33,0,104,2,7,9,6
33,1,109,5,7,9,6
33,0,81,1,3,5,2
33,0,105,4,5,5,3
33,0,108,4,8,9,6
33,1,98,2,1,6,6
33,0,120,5,6,9,6
33,1,103,4,6,7,6
33,1,108,5,7,9,6
33,1,110,4,5,8,6
34,1,108,4,7,7,6
34,0,114,4,1,1,2
34,0,122,5,6,6,3
34,1,101,2,3,4,4
34,0,110,5,2,1,2
34,0,96,2,1,5,2
34,1,112,4,1,5,5
34,1,84,2,1,1,4
34,0,83,2,1,1,4
34,1,94,2,3,3,3
34,1,112,4,3,4,2
34,1,112,2,1,5,3
34,0,129,6,9,9,6
34,1,111,4,2,7,5
34,0,102,2,5,7,5
34,0,95,2,5,6,4
34,1,114,5,7,7,4
34,1,130,6,6,3,2
34,0,100,2,3,6,5
34,0,100,2,6,6,5
34,0,120,5,1,7,3
34,0,96,2,1,3,3
34,0,107,4,1,5,3
34,1,93,2,5,3,5
34,1,110,4,1,6,2
34,1,104,2,1,2,2
35,0,113,4,1,5,3
35,1,91,2,1,1,3
35,0,91,2,1,3,2
35,0,129,6,1,4,3
35,1,119,5,5,7,5
35,1,104,4,1,6,3
35,1,98,2,1,7,3
35,0,105,4,1,5,3
35,0,117,5,5,6,5
35,1,81,2,,,2
35,0,110,4,1,7,5
35,1,93,2,4,3,2
35,1,97,2,3,3,3
35,0,101,4,5,3,3
35,1,89,2,1,7,6
35,1,119,5,7,6,3
35,1,80,2,1,2,3
35,0,82,2,1,1,4
35,0,80,2,2,4,5
35,1,123,5,7,8,5
35,0,105,4,3,4,3
35,1,133,6,3,6,3
35,1,98,4,5,5,3
35,1,116,5,1,4,6
35,1,89,2,2,2,2
35,1,86,2,,,1
35,0,76,2,1,3,2
35,1,96,2,1,3,2
35,0,92,2,4,4,4
35,0,123,5,1,1,3
35,1,89,2,1,1,3
35,0,104,4,1,1,3
35,1,105,4,,,3
35,1,114,5,5,3,2
36,1,120,5,5,9,6
36,0,101,2,1,1,1
36,1,93,2,,,
36,1,135,6,5,,
36,1,98,2,3,5,3
36,1,103,2,1,1,6
36,0,104,4,3,5,5
36,0,102,2,,,2
36,1,95,2,1,1,2
36,0,111,4,6,6,3
36,1,83,2,1,1,
36,1,96,2,1,1,2
36,1,87,1,6,7,6
37,1,96,2,1,1,2
37,0,104,2,1,4,2
37,1,103,2,5,,
37,1,112,4,3,5,6
37,1,112,2,3,2,3
37,0,88,2,3,1,2
37,0,125,6,5,8,5
37,0,104,2,5,3,2
37,0,127,6,,,5
37,0,102,2,3,1,2
37,0,78,2,3,4,2
37,1,123,5,5,6,3
37,0,102,2,1,1,5
37,1,79,2,3,3,3
37,0,107,2,1,4,3
37,0,114,4,1,1,2
37,0,112,2,7,7,3
37,1,108,4,5,6,3
37,1,103,2,1,1,4
37,1,91,2,7,5,3
37,0,93,2,1,,
37,0,125,6,4,6,5
37,0,87,2,1,4,3
37,1,113,4,5,6,4
37,0,101,2,1,1,2
37,1,108,4,1,1,2
37,0,111,4,6,6,3
37,1,105,2,1,6,
37,0,101,2,3,5,5
37,1,96,2,2,7,5
37,0,128,6,1,8,5
37,0,101,2,1,1,2
37,0,106,4,1,4,4
37,0,122,5,1,2,5
37,1,103,2,1,1,4
37,1,86,2,1,3,3
37,1,96,2,5,5,3
37,0,98,2,1,1,2
37,0,106,2,5,6,5
37,0,106,2,5,7,5
