"","pupil","class","extrav","sex","texp","popular","popteach"
"288",5,15,7,"Male",8,6.3,6
"289",6,15,6,"Female",8,4.4,5
"290",7,15,6,"Female",8,5.5,5
"291",8,15,8,"Female",8,7.9,8
"292",9,15,5,"Male",8,2.9,4
"293",10,15,8,"Male",8,6.4,6
"294",11,15,5,"Female",8,5.1,6
"295",12,15,7,"Male",8,4.3,4
"296",13,15,6,"Male",8,4.3,5
"297",14,15,5,"Female",8,5.8,6
"298",15,15,6,"Male",8,4.5,5
"299",16,15,5,"Female",8,4.5,4
"300",17,15,6,"Male",8,6,6
"301",18,15,6,"Female",8,5.6,5
"302",19,15,6,"Male",8,4.7,5
"303",20,15,4,"Female",8,4.5,4
"304",21,15,3,"Male",8,4.3,3
"305",22,15,5,"Male",8,3.2,3
"306",23,15,5,"Male",8,5,5
"307",24,15,4,"Male",8,2.9,3
"308",1,16,5,"Female",11,4.2,4
"309",2,16,6,"Female",11,5.6,5
"310",3,16,5,"Female",11,4.5,5
"311",4,16,7,"Female",11,6.3,6
"312",5,16,5,"Female",11,5.1,5
"313",6,16,5,"Male",11,2.8,2
"314",7,16,6,"Female",11,6.3,6
"315",8,16,8,"Male",11,3.1,4
"316",9,16,5,"Female",11,5.4,5
"317",10,16,6,"Female",11,4.7,5
"318",11,16,8,"Female",11,6.5,6
"319",12,16,6,"Female",11,4.5,4
"320",13,16,7,"Female",11,6.8,5
"321",14,16,5,"Male",11,2.9,4
"322",15,16,4,"Female",11,5.1,4
"323",16,16,6,"Female",11,4.2,4
"324",17,16,6,"Female",11,5.1,5
"325",1,17,4,"Male",16,3.7,4
"326",2,17,3,"Female",16,5.2,5
"327",3,17,6,"Male",16,6.3,5
"328",4,17,5,"Male",16,3.9,5
"329",5,17,3,"Female",16,5.3,5
"330",6,17,5,"Male",16,3.7,5
"331",7,17,6,"Female",16,5.8,6
"332",8,17,4,"Female",16,4.6,5
"333",9,17,5,"Female",16,5.9,6
"334",10,17,5,"Female",16,5.8,6
"335",11,17,6,"Female",16,6.6,7
"336",12,17,4,"Male",16,3.7,3
"337",13,17,6,"Male",16,5.8,5
"338",14,17,6,"Female",16,6.2,6
"339",15,17,6,"Male",16,4.8,5
"340",16,17,6,"Female",16,7,6
"341",17,17,3,"Female",16,5.4,4
"342",18,17,5,"Female",16,7,6
"343",19,17,4,"Male",16,3.3,3
"344",20,17,7,"Female",16,6.7,6
"345",21,17,5,"Female",16,5.6,6
"346",22,17,4,"Male",16,3.5,4
"347",23,17,4,"Male",16,3.6,3
"348",24,17,4,"Male",16,5.1,5
"349",25,17,5,"Male",16,3.7,4
"350",26,17,4,"Male",16,5.3,4
"351",1,18,7,"Male",21,6.1,6
"352",2,18,5,"Female",21,7.8,8
"353",3,18,4,"Male",21,4.8,5
"354",4,18,5,"Male",21,6.7,6
"355",5,18,5,"Male",21,5.1,6
"356",6,18,4,"Female",21,6.8,7
"357",7,18,5,"Male",21,7.1,6
"358",8,18,3,"Female",21,6.7,7
"359",9,18,5,"Male",21,5.6,7
"360",10,18,4,"Female",21,5.1,7
"361",11,18,5,"Male",21,4.8,5
"362",12,18,6,"Female",21,6.7,6
"363",13,18,5,"Male",21,6.7,7
"364",14,18,4,"Male",21,6.9,7
"365",15,18,5,"Female",21,7.9,7
"366",16,18,5,"Male",21,6.6,8
"367",17,18,6,"Male",21,6.9,6
"368",18,18,5,"Female",21,5.7,6
"369",19,18,4,"Female",21,4.4,6
"370",20,18,3,"Female",21,5.7,5
"371",21,18,5,"Male",21,6,6
"372",1,19,8,"Female",16,7.1,8
"373",2,19,4,"Male",16,5.4,5
"374",3,19,5,"Male",16,6.2,6
"375",4,19,5,"Female",16,7.1,7
"376",5,19,5,"Male",16,4.4,5
"377",6,19,3,"Male",16,3.2,4
"378",7,19,5,"Male",16,5.6,5
"379",8,19,4,"Female",16,6.2,6
"380",9,19,5,"Male",16,4.5,4
"381",10,19,4,"Female",16,5.9,6
"382",11,19,6,"Female",16,5.9,7
"383",12,19,4,"Male",16,3.7,4
"384",14,19,6,"Female",16,7.1,6
"385",15,19,5,"Female",16,5.6,7
"386",16,19,3,"Male",16,5,5
"387",17,19,5,"Female",16,5.9,6
"388",18,19,4,"Female",16,4.8,5
"389",19,19,5,"Male",16,5.7,5
"390",20,19,3,"Female",16,6.8,6
"391",21,19,4,"Male",16,4,4
"392",1,20,5,"Female",10,6,5
"393",2,20,7,"Female",10,6.5,6
"394",3,20,5,"Female",10,5.9,6
"395",4,20,4,"Female",10,5.1,5
"396",5,20,5,"Female",10,5.8,5
"397",6,20,6,"Female",10,6.9,6
"398",7,20,8,"Female",10,7.2,8
"399",8,20,5,"Male",10,3.3,5
"400",9,20,5,"Female",10,6.6,7
"401",10,20,4,"Male",10,2.7,3
"402",11,20,4,"Male",10,3.1,3
"403",12,20,6,"Female",10,5.7,6
"404",13,20,7,"Male",10,5.6,5
"405",14,20,4,"Female",10,6.3,5
"406",15,20,6,"Female",10,5.9,6
"407",17,20,5,"Male",10,2.9,4
"408",18,20,6,"Female",10,6.3,5
"409",19,20,5,"Female",10,5.7,6
"410",20,20,6,"Female",10,6.3,6
"411",21,20,5,"Male",10,4.2,5
"412",1,21,5,"Female",17,5.4,5
"413",2,21,5,"Female",17,5.7,6
"414",3,21,5,"Female",17,4.2,5
"415",4,21,4,"Female",17,3.5,5
"416",5,21,7,"Male",17,4.6,4
"417",6,21,5,"Male",17,4.1,4
"418",7,21,5,"Male",17,4.2,5
"419",8,21,4,"Female",17,4.6,5
"420",9,21,6,"Male",17,4,5
"421",10,21,3,"Male",17,4.5,4
"422",11,21,6,"Female",17,4.9,6
"423",12,21,6,"Male",17,5.3,6
"424",13,21,4,"Male",17,3.7,4
"425",14,21,4,"Male",17,3.8,4
"426",15,21,5,"Female",17,5.8,7
"427",16,21,4,"Male",17,3.7,2
"428",17,21,5,"Male",17,5.4,5
"429",18,21,4,"Female",17,6.7,6
"430",19,21,3,"Female",17,4.7,4
"431",20,21,6,"Female",17,6,6
"432",21,21,4,"Female",17,6.3,6
"433",22,21,5,"Female",17,5,5
"434",23,21,6,"Female",17,5.1,6
"435",1,22,3,"Female",11,5.7,6
"436",2,22,2,"Female",11,5.8,4
"437",3,22,6,"Female",11,7.6,6
"438",4,22,6,"Female",11,7.8,7
"439",5,22,5,"Male",11,5.4,6
"440",6,22,4,"Male",11,5.7,5
"441",7,22,4,"Male",11,6.3,5
"442",8,22,6,"Female",11,6.7,7
"443",9,22,4,"Female",11,7,7
"444",10,22,5,"Male",11,5.6,5
"445",11,22,5,"Male",11,5.5,4
"446",12,22,6,"Male",11,5.4,5
"447",13,22,6,"Female",11,6.7,7
"448",14,22,7,"Female",11,7.3,8
"449",15,22,5,"Male",11,6.1,6
"450",16,22,5,"Female",11,6.5,7
"451",17,22,4,"Male",11,5.8,6
"452",18,22,6,"Female",11,7.1,8
"453",19,22,5,"Female",11,5.9,6
"454",20,22,7,"Female",11,7,8
"455",1,23,6,"Male",15,5,4
"456",2,23,6,"Female",15,4.8,6
"457",3,23,4,"Female",15,5.9,7
"458",4,23,5,"Male",15,4.5,5
"459",5,23,5,"Female",15,6.3,7
"460",6,23,7,"Female",15,6,5
"461",7,23,5,"Female",15,6.4,5
"462",8,23,4,"Male",15,3.3,5
"463",9,23,6,"Male",15,4.6,4
"464",10,23,5,"Male",15,5.6,6
"465",11,23,5,"Male",15,4.5,5
"466",12,23,6,"Female",15,6.4,6
"467",13,23,4,"Male",15,3.8,4
"468",14,23,6,"Female",15,6.6,6
"469",15,23,5,"Female",15,6.5,6
"470",16,23,6,"Male",15,5.6,6
"471",17,23,5,"Female",15,5.7,6
"472",18,23,5,"Male",15,4.2,4
"473",19,23,7,"Female",15,6.7,6
"474",20,23,3,"Male",15,3.2,4
"475",21,23,7,"Male",15,5.4,6
"476",22,23,3,"Male",15,4.7,4
"477",1,24,5,"Male",6,3.4,3
"478",2,24,4,"Male",6,2.7,2
"479",3,24,5,"Female",6,3.8,4
"480",4,24,5,"Female",6,3.7,5
"481",5,24,7,"Female",6,7.3,6
"482",6,24,7,"Female",6,6.6,7
"483",7,24,7,"Male",6,3,4
"484",8,24,6,"Female",6,5.2,5
"485",9,24,5,"Male",6,4.7,4
"486",10,24,6,"Female",6,6.2,5
"487",11,24,7,"Male",6,4.5,5
"488",12,24,6,"Male",6,3.3,3
"489",13,24,6,"Male",6,3.9,3
"490",14,24,5,"Male",6,3.4,3
"491",15,24,5,"Male",6,4.1,5
"492",16,24,7,"Female",6,5.3,6
"493",17,24,5,"Female",6,5.6,4
"494",18,24,5,"Female",6,5.3,6
"495",19,24,6,"Male",6,4.5,4
"496",1,25,4,"Male",19,5.1,5
"497",2,25,5,"Female",19,5.6,6
"498",3,25,5,"Female",19,5.6,5
"499",4,25,4,"Female",19,5.9,6
"500",5,25,7,"Female",19,6.5,6
"501",6,25,6,"Male",19,3.7,4
"502",7,25,5,"Male",19,3.9,4
"503",8,25,6,"Female",19,5.7,5
"504",9,25,4,"Female",19,5.7,4
"505",10,25,5,"Male",19,5.1,4
"506",11,25,6,"Female",19,5.7,6
"507",12,25,6,"Male",19,4.6,5
"508",13,25,5,"Female",19,7,6
"509",14,25,4,"Female",19,4.7,5
"510",15,25,5,"Female",19,3.3,4
"511",16,25,4,"Male",19,4,4
"512",17,25,5,"Male",19,2.9,4
"513",18,25,5,"Male",19,3.8,4
"514",19,25,5,"Male",19,3.7,3
"515",20,25,5,"Male",19,4.3,4
"516",1,26,5,"Female",10,4.1,5
"517",2,26,4,"Female",10,3.7,4
"518",3,26,6,"Male",10,4.1,5
"519",4,26,4,"Female",10,4.1,4
"520",5,26,4,"Male",10,2.8,3
"521",6,26,4,"Female",10,3.2,4
"522",7,26,6,"Female",10,6,6
"523",8,26,5,"Male",10,3.2,3
"524",9,26,4,"Male",10,3.4,2
"525",10,26,4,"Male",10,3.2,3
"526",11,26,6,"Female",10,4.9,5
"527",12,26,5,"Male",10,3.5,4
"528",13,26,4,"Female",10,3.9,4
"529",14,26,6,"Male",10,3.8,5
"530",15,26,4,"Male",10,2.9,4
"531",16,26,3,"Female",10,3.6,2
"532",17,26,7,"Female",10,6.1,6
"533",18,26,4,"Female",10,5.5,6
"534",19,26,7,"Male",10,6.2,6
"535",20,26,5,"Male",10,2.6,4
"536",21,26,4,"Female",10,4.5,5
"537",1,27,4,"Male",10,2.5,3
"538",2,27,6,"Male",10,6,4
"539",3,27,6,"Male",10,3.6,4
"540",4,27,5,"Male",10,4.8,5
"541",5,27,4,"Male",10,2.9,4
"542",6,27,7,"Male",10,6.2,6
"543",7,27,5,"Male",10,4,4
"544",8,27,7,"Male",10,4.9,5
"545",9,27,5,"Female",10,5.4,6
"546",10,27,5,"Male",10,4.2,4
"547",11,27,5,"Female",10,4.8,5
"548",12,27,6,"Female",10,6.4,6
"549",13,27,5,"Male",10,3.2,4
"550",14,27,5,"Female",10,5.2,5
"551",15,27,4,"Female",10,3.4,4
"552",16,27,5,"Female",10,4.8,5
"553",17,27,5,"Male",10,4.2,4
"554",18,27,4,"Male",10,3.2,4
"555",19,27,6,"Male",10,4.7,5
"556",20,27,6,"Male",10,4.6,4
"557",1,28,5,"Male",13,4.9,4
"558",2,28,3,"Female",13,4.3,4
"559",3,28,3,"Male",13,3.8,3
"560",4,28,5,"Male",13,4.1,4
"561",5,28,6,"Female",13,5.5,7
"562",6,28,6,"Female",13,5,4
"563",7,28,6,"Male",13,3.6,4
"564",8,28,5,"Female",13,5.4,6
"565",9,28,6,"Female",13,6,5
"566",10,28,5,"Female",13,4.8,5
"567",11,28,6,"Male",13,4.1,6
"568",12,28,5,"Male",13,4.2,4
"569",13,28,6,"Female",13,5.6,5
"570",14,28,7,"Male",13,4.4,5
"571",15,28,5,"Female",13,4.8,6
"572",16,28,6,"Male",13,3.3,3
"573",17,28,5,"Female",13,4.9,6
"574",18,28,4,"Male",13,3.4,3
"575",19,28,3,"Female",13,3.7,3
"576",20,28,4,"Female",13,4.4,4
"577",1,29,4,"Female",22,5.9,7
"578",2,29,4,"Male",22,3.8,6
"579",3,29,5,"Male",22,5.2,5
"580",4,29,7,"Male",22,6.1,6
"581",5,29,4,"Female",22,5.5,5
"582",6,29,4,"Female",22,7.2,6
"583",7,29,6,"Male",22,6.2,6
"584",8,29,5,"Female",22,7.1,6
"585",9,29,4,"Female",22,6,6
"586",10,29,5,"Female",22,6,5
"587",12,29,3,"Male",22,5.2,5
"588",13,29,3,"Male",22,6.6,4
"589",14,29,5,"Female",22,5.7,6
"590",15,29,5,"Female",22,6.9,7
"591",16,29,5,"Female",22,6.6,6
"592",17,29,3,"Female",22,5.7,6
"593",18,29,2,"Male",22,4.7,5
"594",1,30,6,"Male",6,3.3,4
"595",2,30,5,"Male",6,2.6,4
"596",3,30,5,"Female",6,5.3,3
"597",4,30,7,"Male",6,4,3
"598",5,30,5,"Female",6,4.7,4
"599",6,30,6,"Male",6,5.2,5
"600",7,30,6,"Male",6,3.5,4
"601",8,30,8,"Female",6,6.5,6
"602",9,30,5,"Male",6,3.9,4
"603",10,30,5,"Female",6,4.9,4
"604",11,30,6,"Male",6,3.6,4
"605",12,30,5,"Female",6,4.3,4
"606",13,30,4,"Female",6,3.5,4
"607",14,30,5,"Male",6,4,4
"608",15,30,8,"Female",6,7.1,7
"609",16,30,6,"Female",6,6.1,6
"610",17,30,8,"Female",6,4.6,5
"611",1,31,6,"Male",6,4.9,5
"612",2,31,6,"Female",6,5.7,7
"613",4,31,6,"Female",6,5.2,5
"614",5,31,6,"Female",6,7.3,6
"615",6,31,5,"Male",6,3.5,4
"616",7,31,5,"Female",6,4,5
"617",8,31,6,"Female",6,5.8,6
"618",9,31,5,"Female",6,5.8,6
"619",10,31,5,"Male",6,4.4,4
"620",11,31,6,"Male",6,4.6,5
"621",12,31,5,"Male",6,4.2,3
"622",13,31,3,"Male",6,1.5,1
"623",14,31,4,"Male",6,2.9,2
"624",15,31,4,"Male",6,3.2,4
"625",16,31,4,"Male",6,1.8,1
"626",17,31,6,"Female",6,5.5,5
"627",18,31,3,"Male",6,0.4,1
"628",19,31,6,"Male",6,5.4,4
"629",20,31,5,"Female",6,5.1,4
"630",1,32,5,"Female",12,6.2,6
"631",2,32,6,"Male",12,5.9,6
"632",3,32,6,"Female",12,4.9,5
"633",4,32,6,"Female",12,6,7
"634",5,32,6,"Male",12,4.9,5
"635",6,32,4,"Male",12,3.9,5
"636",7,32,4,"Male",12,4.5,4
"637",8,32,5,"Female",12,4.6,5
"638",9,32,3,"Male",12,2.4,3
"639",10,32,4,"Female",12,4.7,4
"640",11,32,6,"Female",12,5,6
"641",12,32,6,"Male",12,5.8,5
"642",13,32,5,"Female",12,6.1,6
"643",14,32,4,"Male",12,4.6,4
"644",15,32,5,"Female",12,5.2,5
"645",16,32,5,"Male",12,4.8,4
"646",17,32,5,"Male",12,4,4
"647",18,32,5,"Male",12,3.1,2
"648",19,32,6,"Male",12,4.8,5
"649",20,32,6,"Female",12,7.3,8
"650",21,32,4,"Male",12,3.3,3
"651",22,32,5,"Female",12,4.2,4
"652",23,32,6,"Female",12,6.9,7
"653",1,33,7,"Female",3,7.2,7
"654",2,33,7,"Female",3,8.7,8
"655",3,33,7,"Female",3,5.4,5
"656",4,33,8,"Female",3,9.2,8
"657",5,33,6,"Female",3,7,7
"658",6,33,7,"Female",3,6.4,7
"659",7,33,8,"Female",3,9.5,9
"660",8,33,7,"Female",3,8.1,7
"661",9,33,8,"Female",3,6,7
"662",10,33,8,"Female",3,7,8
"663",11,33,9,"Female",3,8.1,10
"664",12,33,6,"Female",3,7.4,7
"665",13,33,7,"Female",3,8.4,8
"666",14,33,6,"Female",3,4.7,6
"667",15,33,7,"Female",3,7.4,7
"668",16,33,7,"Female",3,5.7,5
"669",17,33,7,"Female",3,8,8
"670",18,33,9,"Female",3,8.8,8
